  DN  Red   Gre  Blue   mm
    0    0    0    0    0.00
    1  147  163  160    0.04
    2  145  161  161    0.07
    3  143  159  163    0.11
    4  141  157  165    0.15
    5  140  156  167    0.19
    6  138  154  168    0.23
    7  136  152  170    0.27
    8  134  150  172    0.32
    9  133  149  174    0.37
   10  131  147  175    0.41
   11  129  145  177    0.46
   12  127  143  179    0.52
   13  126  142  181    0.57
   14  124  140  182    0.62
   15  122  138  184    0.68
   16  120  136  186    0.74
   17  119  135  188    0.80
   18  119  135  188    0.87
   19  117  132  190    0.93
   20  115  130  192    1.00
   21  113  127  195    1.07
   22  111  125  197    1.14
   23  109  122  199    1.22
   24  107  120  202    1.30
   25  105  117  204    1.38
   26  104  115  207    1.46
   27  102  113  209    1.55
   28  100  110  211    1.64
   29   98  108  214    1.73
   30   96  105  216    1.83
   31   94  103  218    1.93
   32   92  100  221    2.03
   33   90   98  223    2.14
   34   89   96  226    2.25
   35   89   96  226    2.36
   36   85   95  227    2.48
   37   82   95  229    2.61
   38   79   95  231    2.73
   39   76   94  233    2.86
   40   73   94  235    3.00
   41   70   94  236    3.14
   42   67   93  238    3.29
   43   64   93  240    3.44
   44   61   93  242    3.59
   45   58   92  244    3.76
   46   55   92  245    3.92
   47   52   92  247    4.10
   48   49   91  249    4.28
   49   46   91  251    4.46
   50   43   91  253    4.66
   51   40   91  255    4.86
   52   40   91  255    5.06
   53   40   95  253    5.28
   54   40  100  252    5.50
   55   40  104  250    5.73
   56   40  109  249    5.96
   57   40  114  247    6.21
   58   40  118  246    6.46
   59   40  123  244    6.73
   60   40  128  243    7.00
   61   40  132  242    7.28
   62   40  137  240    7.57
   63   40  141  239    7.88
   64   40  146  237    8.19
   65   40  151  236    8.51
   66   40  155  234    8.85
   67   40  160  233    9.20
   68   40  165  232    9.56
   69   40  165  232    9.93
   70   40  166  230   10.31
   71   41  168  228   10.71
   72   42  169  226   11.13
   73   43  171  225   11.55
   74   44  173  223   12.00
   75   44  174  221   12.45
   76   45  176  219   12.93
   77   46  178  218   13.42
   78   47  179  216   13.93
   79   48  181  214   14.45
   80   48  182  212   15.00
   81   49  184  211   15.56
   82   50  186  209   16.15
   83   51  187  207   16.75
   84   52  189  205   17.38
   85   53  191  204   18.03
   86   53  191  204   18.70
   87   54  192  202   19.39
   88   55  193  201   20.11
   89   57  195  200   20.86
   90   58  196  198   21.63
   91   60  198  197   22.43
   92   61  199  196   23.25
   93   63  201  194   24.11
   94   64  202  193   24.99
   95   65  203  192   25.91
   96   67  205  190   26.86
   97   68  206  189   27.84
   98   70  208  188   28.86
   99   71  209  186   29.91
  100   73  211  185   31.00
  101   74  212  184   32.13
  102   76  214  183   33.30
  103   76  214  183   34.51
  104   77  215  181   35.76
  105   78  216  179   37.05
  106   80  217  178   38.40
  107   81  219  176   39.79
  108   83  220  175   41.22
  109   84  221  173   42.71
  110   86  222  172   44.25
  111   87  224  170   45.85
  112   88  225  168   47.50
  113   90  226  167   49.21
  114   91  227  165   50.98
  115   93  229  164   52.82
  116   94  230  162   54.72
  117   96  231  161   56.68
  118   97  232  159   58.71
  119   99  234  158   60.82
  120   99  234  158   63.00
  121  102  234  156   65.26
  122  105  235  154   67.59
  123  109  235  153   70.01
  124  112  236  151   72.52
  125  115  237  149   75.11
  126  119  237  148   77.79
  127  122  238  146   80.57
  128  126  239  145   83.45
  129  129  239  143   86.43
  130  132  240  141   89.51
  131  136  240  140   92.70
  132  139  241  138   96.01
  133  142  242  136   99.43
  134  146  242  135  102.97
  135  149  243  133  106.63
  136  153  244  132  110.43
  137  153  244  132  114.36
  138  155  244  129  118.43
  139  157  245  127  122.64
  140  159  246  125  127.00
  141  161  246  123  131.51
  142  163  247  121  136.19
  143  166  248  119  141.02
  144  168  248  117  146.03
  145  170  249  115  151.22
  146  172  250  113  156.59
  147  174  250  111  162.14
  148  177  251  109  167.90
  149  179  252  107  173.85
  150  181  252  105  180.02
  151  183  253  103  186.40
  152  185  254  101  193.01
  153  188  255   99  199.85
  154  188  255   99  206.94
  155  190  255   97  214.27
  156  192  255   95  221.86
  157  195  255   94  229.72
  158  197  255   92  237.86
  159  199  255   90  246.28
  160  202  255   89  255.00
  161  204  255   87  264.03
  162  207  255   86  273.37
  163  209  255   84  283.05
  164  211  255   82  293.07
  165  214  255   81  303.44
  166  216  255   79  314.17
  167  218  255   77  325.29
  168  221  255   76  336.79
  169  223  255   74  348.71
  170  226  255   73  361.04
  171  226  255   73  373.81
  172  226  253   69  387.02
  173  227  251   65  400.71
  174  227  249   62  414.87
  175  228  247   58  429.54
  176  229  245   55  444.72
  177  229  243   51  460.44
  178  230  241   48  476.71
  179  231  240   44  493.56
  180  231  238   40  511.00
  181  232  236   37  529.06
  182  232  234   33  547.75
  183  233  232   30  567.10
  184  234  230   26  587.13
  185  234  228   23  607.87
  186  235  226   19  629.35
  187  236  225   16  651.58
  188  236  225   16  674.59
  189  237  223   15  698.41
  190  238  221   14  723.08
  191  239  219   13  748.61
  192  240  217   12  775.05
  193  241  215   11  802.41
  194  243  214   10  830.75
  195  244  212    9  860.08
  196  245  210    9  890.44
  197  246  208    8  921.88
  198  247  206    7  954.43
  199  249  205    6  988.12
  200  250  203    5 1023.00
  201  251  201    4 1059.11
  202  252  199    3 1096.50
  203  253  197    2 1135.20
  204  255  196    2 1175.27
  205  255  196    2 1216.75
  206  255  192    5 1259.69
  207  255  189    8 1304.15
  208  255  186   11 1350.18
  209  255  183   14 1397.83
  210  255  180   17 1447.16
  211  255  176   20 1498.22
  212  255  173   23 1551.09
  213  255  170   26 1605.83
  214  255  167   29 1662.49
  215  255  164   32 1721.16
  216  255  160   35 1781.89
